s: D - DYNAMIC
Columns: LIST, ADDRESS, CREATION-TIME, TIMEOUT
  #   LIST           ADDRESS          CREATION-TIME        TIMEOUT    
  0 D MAGIS-IPS-CDN  82.97.205.62     2025-05-07 15:17:46  1d23h52m49s
  1 D MAGIS-IPS-CDN  38.154.242.141   2025-05-07 15:17:46  1d11h24m13s
  2 D MAGIS-IPS-CDN  66.225.197.175   2025-05-07 15:18:10  1d23h52m49s
  3 D MAGIS-IPS-CDN  87.120.164.62    2025-05-07 15:18:10  1d23h49m43s
  4 D MAGIS-IPS-CDN  92.223.118.254   2025-05-07 15:18:21  1d23h49m34s
  5 D MAGIS-IPS-CDN  104.21.32.1      2025-05-07 15:18:43  1d19h22m37s
  6 D MAGIS-IPS-CDN  92.223.98.98     2025-05-07 15:18:54  1d20h47m45s
  7 D MAGIS-IPS-CDN  92.223.107.62    2025-05-07 15:19:28  1d20h16m52s
  8 D MAGIS-IPS-CDN  104.21.48.1      2025-05-07 15:19:51  1d20h51m38s
  9 D MAGIS-IPS-CDN  104.21.40.220    2025-05-07 15:20:53  1d20h41m4s 
 10 D MAGIS-IPS-CDN  172.67.157.37    2025-05-07 15:23:06  1d20h58m36s
 11 D MAGIS-IPS-CDN  74.63.231.42     2025-05-07 15:23:40  1d20h18m32s
 12 D MAGIS-IPS-CDN  104.18.13.124    2025-05-07 15:23:55  1d23h49m55s
 13 D MAGIS-IPS-CDN  3.160.119.81     2025-05-07 15:24:07  1d14h45m6s 
 14 D MAGIS-IPS-CDN  208.115.207.227  2025-05-07 15:24:09  1d13h9m16s 
 15 D MAGIS-IPS-CDN  172.245.177.226  2025-05-07 15:24:18  1d13h54m34s
 16 D MAGIS-IPS-CDN  98.98.163.111    2025-05-07 15:24:35  1d11h14m6s 
 17 D MAGIS-IPS-CDN  92.223.84.84     2025-05-07 15:25:15  1d18h7m28s 
 18 D MAGIS-IPS-CDN  81.28.14.14      2025-05-07 15:28:28  1d7h35m51s 
 19 D MAGIS-IPS-CDN  98.98.163.186    2025-05-07 15:35:56  1d9h40m21s 
 20 D MAGIS-IPS-CDN  149.34.250.106   2025-05-07 15:36:06  1d20h20m56s
 21 D MAGIS-IPS-CDN  104.18.13.236    2025-05-07 15:54:36  1d23h49m43s
 22 D MAGIS-IPS-CDN  104.21.112.1     2025-05-07 15:58:28  1d20h59m38s
 23 D MAGIS-IPS-CDN  104.21.16.1      2025-05-07 16:00:24  1d21h11m39s
 24 D MAGIS-IPS-CDN  104.18.17.241    2025-05-07 16:09:29  1d10h6m5s  
 25 D MAGIS-IPS-CDN  95.101.24.153    2025-05-07 16:09:29  1d10h5m18s 
 26 D MAGIS-IPS-CDN  104.18.11.236    2025-05-07 16:09:42  1d13h24m2s 
 27 D MAGIS-IPS-CDN  104.18.10.236    2025-05-07 16:10:17  1d9h41m29s 
 28 D MAGIS-IPS-CDN  38.170.198.122   2025-05-07 16:11:33  1d9h41m11s 
 29 D MAGIS-IPS-CDN  216.144.248.11   2025-05-07 16:25:21  1d16h8m28s 
 30 D MAGIS-IPS-CDN  104.18.12.236    2025-05-07 16:28:25  1d23h50m9s 
 31 D MAGIS-IPS-CDN  192.3.6.18       2025-05-07 16:33:02  1d8h40m41s 
 32 D MAGIS-IPS-CDN  95.101.24.138    2025-05-07 16:33:05  1d10h5m55s 
 33 D MAGIS-IPS-CDN  172.64.145.157   2025-05-07 16:33:35  1d13h33m54s
 34 D MAGIS-IPS-CDN  104.18.16.241    2025-05-07 16:35:15  1d9h13m21s 
 35 D MAGIS-IPS-CDN  192.227.227.163  2025-05-07 16:35:19  1d8h42m42s 
 36 D MAGIS-IPS-CDN  104.18.42.99     2025-05-07 16:48:01  1d13h33m50s
 37 D MAGIS-IPS-CDN  192.210.185.59   2025-05-07 16:51:03  1d15h40m5s 
 38 D MAGIS-IPS-CDN  98.98.163.138    2025-05-07 16:56:28  1d9h59m38s 
 39 D MAGIS-IPS-CDN  104.18.30.72     2025-05-07 17:01:12  1d9h26m48s 
 40 D MAGIS-IPS-CDN  104.18.24.29     2025-05-07 17:01:28  1d11h9m47s 
 41 D MAGIS-IPS-CDN  104.21.80.1      2025-05-07 17:13:36  1d15h31m36s
 42 D MAGIS-IPS-CDN  104.21.96.1      2025-05-07 17:20:56  1d17h54m44s
 43 D MAGIS-IPS-CDN  149.34.241.50    2025-05-07 17:33:16  1d9h44m28s 
 44 D MAGIS-IPS-CDN  104.18.15.244    2025-05-07 17:33:19  1d9h40m43s 
 45 D MAGIS-IPS-CDN  172.64.149.81    2025-05-07 17:33:36  1d9h41m    
 46 D MAGIS-IPS-CDN  104.18.14.244    2025-05-07 17:33:53  1d9h41m17s 
 47 D MAGIS-IPS-CDN  104.18.38.175    2025-05-07 17:34:05  1d9h41m41s 
 48 D MAGIS-IPS-CDN  98.98.163.117    2025-05-07 17:35:00  1d16h12m29s
 49 D MAGIS-IPS-CDN  104.18.31.72     2025-05-07 17:44:31  1d11h24m21s
 50 D MAGIS-IPS-CDN  104.18.25.29     2025-05-07 17:45:14  1d9h56m6s  
 51 D MAGIS-IPS-CDN  149.34.250.105   2025-05-07 17:48:55  1d17h50m15s
 52 D MAGIS-IPS-CDN  64.31.19.253     2025-05-07 17:57:51  1d17h30m30s
 53 D MAGIS-IPS-CDN  98.98.163.146    2025-05-07 18:00:10  1d23h34m54s
 54 D MAGIS-IPS-CDN  69.162.97.123    2025-05-07 18:02:05  1d18h12m1s 
 55 D MAGIS-IPS-CDN  208.115.235.123  2025-05-07 18:10:41  1d11h57m46s
 56 D MAGIS-IPS-CDN  198.23.190.3     2025-05-07 18:51:58  1d17h21m55s
 57 D MAGIS-IPS-CDN  64.31.19.174     2025-05-07 18:52:31  1d23h48m55s
 58 D MAGIS-IPS-CDN  98.98.163.130    2025-05-07 19:08:43  1d18h10m33s
 59 D MAGIS-IPS-CDN  63.143.36.179    2025-05-07 19:23:39  1d18h19m13s
 60 D MAGIS-IPS-CDN  208.115.198.86   2025-05-07 19:26:40  1d23h2m2s  
 61 D MAGIS-IPS-CDN  64.31.35.132     2025-05-07 19:36:32  1d15h57m57s
 62 D MAGIS-IPS-CDN  64.31.43.91      2025-05-07 19:41:28  1d17h42m58s
 63 D MAGIS-IPS-CDN  198.23.219.59    2025-05-07 19:47:24  1d12h44m12s
 64 D MAGIS-IPS-CDN  104.18.23.195    2025-05-07 19:48:35  1d17h21m54s
 65 D MAGIS-IPS-CDN  104.18.1.232     2025-05-07 19:49:10  1d15h56m43s
 66 D MAGIS-IPS-CDN  172.64.149.12    2025-05-07 19:49:13  1d14h47m43s
 67 D MAGIS-IPS-CDN  64.31.8.44       2025-05-07 19:50:36  1d14h18m14s
 68 D MAGIS-IPS-CDN  104.18.12.124    2025-05-07 20:01:41  1d16h13m52s
 69 D MAGIS-IPS-CDN  98.98.163.134    2025-05-07 20:04:13  1d12h12m28s
 70 D MAGIS-IPS-CDN  104.18.38.244    2025-05-07 20:05:32  1d14h47m57s
 71 D MAGIS-IPS-CDN  149.102.226.51   2025-05-07 20:10:13  1d19h46m42s
 72 D MAGIS-IPS-CDN  149.102.226.57   2025-05-07 20:11:32  1d13h2m50s 
 73 D MAGIS-IPS-CDN  98.98.163.119    2025-05-07 20:11:55  1d12h19m31s
 74 D MAGIS-IPS-CDN  208.115.233.59   2025-05-07 20:23:00  1d12h46m   
 75 D MAGIS-IPS-CDN  149.34.250.97    2025-05-07 20:24:12  1d23h58m40s
 76 D MAGIS-IPS-CDN  3.160.119.7      2025-05-07 20:25:01  1d13h49m49s
 77 D MAGIS-IPS-CDN  3.160.119.71     2025-05-07 20:25:24  1d14h45m17s
 78 D MAGIS-IPS-CDN  3.160.119.59     2025-05-07 20:25:34  1d14h51m31s
 79 D MAGIS-IPS-CDN  3.160.90.43      2025-05-07 20:26:14  1d15h56m16s
 80 D MAGIS-IPS-CDN  79.127.245.18    2025-05-07 20:26:15  1d14h4m37s 
 81 D MAGIS-IPS-CDN  104.18.22.195    2025-05-07 20:26:25  1d12h33m49s
 82 D MAGIS-IPS-CDN  3.160.90.51      2025-05-07 20:26:28  1d14h10m31s
 83 D MAGIS-IPS-CDN  3.160.90.15      2025-05-07 20:26:50  1d16h46m48s
 84 D MAGIS-IPS-CDN  3.160.90.60      2025-05-07 20:26:50  1d16h45m17s
 85 D MAGIS-IPS-CDN  74.63.218.171    2025-05-07 20:27:28  1d16h42m47s
 86 D MAGIS-IPS-CDN  64.31.30.75      2025-05-07 20:30:21  1d16h15m4s 
 87 D MAGIS-IPS-CDN  216.245.211.147  2025-05-07 20:31:00  1d17h29m7s 
 88 D MAGIS-IPS-CDN  98.98.163.124    2025-05-07 20:33:09  1d19h25m44s
 89 D MAGIS-IPS-CDN  98.98.163.126    2025-05-07 20:33:18  1d23h31m45s
 90 D MAGIS-IPS-CDN  98.98.163.108    2025-05-07 20:58:58  1d19h27m30s
 91 D MAGIS-IPS-CDN  107.151.149.182  2025-05-07 21:01:34  1d16h57m8s 
 92 D MAGIS-IPS-CDN  149.34.248.42    2025-05-07 21:02:13  1d17h18m47s
 93 D MAGIS-IPS-CDN  107.151.149.14   2025-05-07 21:04:07  1d16h59m8s 
 94 D MAGIS-IPS-CDN  107.151.149.202  2025-05-07 21:04:38  1d13h12m46s
 95 D MAGIS-IPS-CDN  172.245.11.251   2025-05-07 21:07:57  1d19h22m50s
 96 D MAGIS-IPS-CDN  23.237.74.78     2025-05-07 21:14:54  1d13h35m8s 
 97 D MAGIS-IPS-CDN  104.18.19.157    2025-05-07 21:15:18  1d13h23m47s
 98 D MAGIS-IPS-CDN  38.15.129.66     2025-05-07 21:19:00  1d13h28m2s 
 99 D MAGIS-IPS-CDN  74.63.240.27     2025-05-07 21:20:46  1d14h31m39s
100 D MAGIS-IPS-CDN  98.98.163.150    2025-05-07 21:26:31  1d18h5m16s 
101 D MAGIS-IPS-CDN  149.88.100.133   2025-05-07 21:27:45  1d17h15m41s
102 D MAGIS-IPS-CDN  192.210.146.123  2025-05-07 21:28:23  1d14h31s   
103 D MAGIS-IPS-CDN  192.3.187.147    2025-05-07 21:38:00  1d14h16m25s
104 D MAGIS-IPS-CDN  98.98.163.112    2025-05-07 21:48:19  1d14h35m28s
